Date,Dividends
2015-12-17,0.230000
2015-09-17,0.230000
2015-06-18,0.230000
2015-02-19,0.230000
2014-12-18,0.230000
2014-09-18,0.220000
2014-06-19,0.220000
2014-02-20,0.220000
2013-12-19,0.220000
2013-09-19,0.190000
2013-06-20,0.190000
2013-02-21,0.190000
2012-12-20,0.190000
2012-09-20,0.170000
2012-06-21,0.170000
2012-06-15,0.055000
2012-02-23,0.170000
2011-12-22,0.170000
2011-09-15,0.150000
2011-06-16,0.150000
2011-02-24,0.140000
2010-12-22,0.140000
2010-09-16,0.120000
2010-06-17,0.100000
2010-02-25,0.100000
